GeneID	Em10	Em12	Em14	Em16	Em18	Em20	Em22	Em24	Em26	Em28	Em30	Em32	Em34	Em36	Em38	En6	En8	En10	En12	En14	En16	En18	En20	En22	En24	En26	En28	En30	En32	En34	En36	En38	S0	S2	S3	S4	S6	S8	S10	S12	S14	S16	S18	S20	S22	S24	S26	S28	S30	S32	S34	S36	S38	Shoots	Roots	Leaf_1	Leaf_2	Leaf_3	Leaf_4	Leaf_5	Leaf_6	Leaf_7	SAM_1	SAM_2	SAM_3	Ear_1	Ear_2	Tassel_1	Tassel_2	Tassel_3	Tassel_4	Tassel_5	Cob_1	Cob_2	Silk	Anthers	Ovule	Pollen
GRMZM2G048910	18.69	51.55	7.94	35.3	25.36	21.04	32.36	26.59	40.24	30.56	9.86	6.55	24.48	8.65	13.93	10.46	10.14	3.8	3.03	1.83	2.95	5.25	2.41	6.04	3.27	7.17	4.55	6.51	7.22	11.21	12.64	16.35	0.1	0.27	0.56	0.64	2.08	7.39	12.17	10.89	9.24	7.52	9.36	12.75	9.14	7.65	8.36	4.21	17.17	3.38	19.55	5.7	12.91	0.18	0.38	0.07	0	0.96	3.01	0.5	0.03	0.03	0.06	0.03	0	0.03	0.05	0.06	0.03	0.08	0.07	0.32	0	0	0.49	0.02	0.13	0
GRMZM2G027914	2.61	6.98	3.36	6.16	6.85	4.84	6.14	6.82	5.04	9.47	2.86	2.66	2.52	2.02	2.32	0.55	0.31	0.02	0.18	0.02	0.23	0.41	0.23	0.5	0.36	0.56	0.52	0.53	0.67	1.31	1.64	1.59	0.06	1.22	0.69	1.18	0.79	0.61	0.22	0.62	0.5	0.63	1.03	0.62	0.13	0.98	1.35	0.97	2.82	1.5	2.22	1.61	1.48	0.07	0.25	0.05	0.05	0	0	0.05	0	0.03	0	0	0.3	0.04	0.03	0.07	0.07	0.07	0.28	0.22	0.04	0.04	0.13	0.09	0.11	0
GRMZM2G158788	21.98	40.15	20.27	30.36	35.84	10.76	29.34	22.13	39.73	47.16	15.51	16.09	20.5	10.68	22.33	13.45	3.33	2.13	1.65	0.68	1.08	1.06	0.96	1.87	1.54	1.67	2.8	2.71	4.21	2.88	8.51	13.23	0.24	0.18	0.37	0.45	2.1	3.92	4.31	10.07	6	4.82	5.1	6.46	4.06	5.18	5.78	5.94	12.08	6.23	7.89	5.6	6.39	0	0	0	0	0	0	0	0	0	0.07	0	0	0.04	0.1	0	0	0	0.04	0	0	0.09	0.64	0.03	0.51	0.03
GRMZM2G176390	118.5	87.6	48.24	57.36	56.7	59.92	128.9	155.77	135	83.63	28.58	18.45	23.91	9.11	8.66	0.14	0.71	0.06	0.04	0.03	0.53	0	0.32	2.46	3.09	2.43	5.49	0.67	2.38	5.11	4.15	3.47	0	0.08	0.13	0	0.16	0.22	2.46	2.71	2.39	4.17	4.38	10.73	15.55	17.17	15.2	11.06	9.39	2.68	13.2	6.76	15.79	0	0.03	0	0	0	0	0	0	0	0.09	0	0	0.22	0.55	0.14	0.14	0.14	0	0	0.3	0.31	0.41	0	0.07	0
GRMZM2G344936	4.96	5.36	0.37	4.82	8.57	1.5	5.65	4.1	10.85	6.25	1	0.34	3.53	2.04	3.94	2.01	1.29	1.06	1.09	1.89	0.85	2.52	1.11	1.04	1.01	2.41	0.2	1.09	0.95	2.65	1.97	4.43	6.97	4.39	11.37	5.42	0.89	2.64	2.83	1.93	1.5	1.11	1.42	3.13	2.51	1.52	1.9	0.16	2.93	0.34	1.7	0.1	2.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0
GRMZM2G361593	33.64	39.1	36.43	49.23	39.39	33.59	32.39	34.98	31.16	44.27	30.37	30.28	38.78	26.64	40.23	6.46	2.04	3.2	2.56	1.12	1.67	1.44	1.84	2.32	1.8	1.79	3.24	2.41	4.29	7.36	9.09	15.32	5.37	7.38	7.21	6.07	5.37	4	5.42	5.86	4.62	6.99	6.48	7.28	6.71	5.49	6.54	9.71	30.08	30.66	27.09	20.82	31.83	3.11	3.69	3.2	2.6	4.18	4.83	3.23	2.93	2.6	3.24	2.74	0.68	3.7	3.72	3.15	2.6	2.61	3.45	3.35	4.46	4.39	3.25	1.38	6.63	0.19
GRMZM2G139082	13.18	10.36	10.7	9.24	7.14	6.15	7.68	5.16	6.69	8.13	6.27	5.78	6.12	5.65	7.5	0.55	0.13	0	0.02	0	0.01	0	0.11	0	0.08	0.1	0.41	0.05	0.07	0.15	0.28	0.02	0	0.04	0	0.1	0.49	0.26	0.23	0.18	0.25	0.48	0.77	0.69	1.93	0.84	0.9	1.41	4.36	3.64	3.93	4.07	6.17	0.16	0.62	0	0	0	0	0	0	0	0.04	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02
GRMZM2G141638	7.41	4.32	2.12	2.98	2.87	3	3.02	3.05	1.41	0.53	1.39	1.21	0.73	1.19	1.08	0.34	0.06	0	0.01	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.08	0	0.09	0	0	0.06	0.31	0.19	0.43	0.2	0.42	0.47	0.29	1.06	0.83	1.13	1.34	0.72	0.05	0.59	0	0	0	0	0	0	0	0	0	0.22	0.02	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G011789	41.72	19.52	2.16	2.55	0.19	0	0	0	0	0.14	0	0.14	0.2	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.06	0	0.9	0.11	0.27	0.24	0.28	0.11	0.03	0	0	0	0	0	0	0.09	0.34	0.19	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G170958	5.77	3.44	2.77	2.88	0.75	0.34	0.26	0.05	0.09	0.35	0	0.07	0.19	0	0.8	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.56	0	0	0	0	0	0	0	0.12	0.01	0.07	0.03	0	0	0.06	0	0.13	0.08	0.28	0	0.08	0.27	0	0.05	0.1	0.06	0	0	0	0	0	0	0	0.24	0	0.03	0	0.04	0.03	0.04	0.05	0	0	0	0	0.06	0
GRMZM2G032180	8.56	8.52	4.19	1.68	0.49	2.06	0.83	0.36	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0.1	0.44	0.25	0.09	0.16	0	0	0	0.23	0	0	0.08	0	0.2	0.04	0.21	0	0	0	0	0	0	0	0.12	0.14	0	0.07	0	0	0.12	0.06	0	0	0	0	0	0	0	0
AC185611.3_FG001	5.52	1.97	0.56	0.69	0	0	0.14	0	0	0	0	0	0.08	0	0.37	2.12	0.39	0	0	0	0.32	0	0	0	0	0	0	0	0.41	0	0	0	0	0.11	0.18	1.95	1.7	0.41	0	0.11	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0.33	0	0	0	0.34	0	0
GRMZM2G055155	3.18	0	0	1.07	0	0	0.35	0	0	1.93	0	0	0.52	1.94	1.49	0	0	1.88	0.11	0	0.3	0.08	0.42	0.23	0	0	0	0.55	0.1	0.56	0	0	0.22	1.3	0	0.98	2.34	1.16	0	0.41	0	0.41	0	0.14	0	0	0	0.23	0	0	3.79	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G066321	2.14	1.48	0.74	0.17	0.52	0.52	0.6	1.85	1.46	0.29	0.56	0.26	1.4	0.4	1.17	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.14	0.11	0.06	0.06	0.14	0	0	0.08	0	0.21	0.87	0.44	0.36	0.27	0.52	0	0.86	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G081441	2.26	2.26	1.05	0.33	0.39	0.47	0.13	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0.06	0.24	0.03	0.07	0.07	0.03	0.14	0	0.09	0	0	0	0	0.09	0	0	0.02	0.08	0	0	0	0	0.05	0	0	0.07	0	0	0	0	0	0	0	0.04	0.05	0	0.05	0	0	0.03	0
GRMZM2G090603	4.37	3.04	1.43	1.74	0.53	1.16	1.33	0.73	0.5	1.04	0.21	0.12	0.24	0.18	0.45	0	0	0	0	0.01	0.03	0	0	0	0.04	0	0	0	0	0	0	0	0.45	0.13	0.64	0.68	0.13	0	0	0.08	0.18	0.06	0.06	0.24	0	0	0.18	0.09	0.51	0.36	0.25	0.12	0.75	0.05	0.71	0	0	0.07	0.03	0	0	0.02	0.02	0.03	0	0	0	0.03	0	0	0	0	0	0	0.09	0	0.1	0
GRMZM2G101646	3.59	3.43	1.45	1.27	0.12	0.67	0.06	0.2	0	0	0	0	0	0	0	0.28	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0.3	0	0.1	0.09	0.1	0.12	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G127342	10.04	1.97	1.62	1.22	0	0.78	0.61	1.43	0.23	2.14	1.62	2.53	1.17	0.56	0.3	0.03	0.09	0.02	0	0.02	0	0	0	0.05	0.07	0.14	0.27	0	0.37	0.6	0.7	0.59	0	0.05	0	0	0	0.02	0.12	0.05	0.14	0.15	0.08	0	0	0.33	0.59	0.89	0.96	0.32	2.23	0.07	0.19	0.06	0.16	0	0	0	0	0	0.06	0	0.03	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0.05	0
GRMZM2G376674	199.78	59.23	20.52	19.51	11.17	7.33	3.21	0.17	0.32	0	0.28	0	0	0	0	18.06	11.46	0	0.79	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.37	0.63	1.13	3.93	13.17	9.68	6.95	2.25	2.11	1.28	0.6	0.79	0	0.14	0.07	0	0	0.28	0.3	0.21	0.64	0.04	0	0.08	0	0	0	0	0	0.06	0	0.07	0.13	0	0.06	0	0.06	0	0.29	0	0	0	0	0	0.19	0
GRMZM2G466848	40.48	13.36	7.34	8.25	1.81	1.1	0.41	0.25	0	0	0	0	0	0	0	9.48	3.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	2.02	6.89	5.23	1.84	1.29	0.91	0.66	0.07	0.17	0	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0	0	0	0.08	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.08	0.07	0
GRMZM2G466856	98.17	42.13	19.69	31.95	21.04	13	3.28	1.93	0.99	0	0	0	0	0	0	12.5	4.78	0	0.33	0	0.1	0	0	0	0	0	0	0	0	0	0.43	0	0.45	0.29	1.13	2.09	6.6	4.08	1.87	2.29	1.34	2.06	1.21	1.61	0	0.38	0.21	0.23	0	0.07	0.41	0	0.71	0	0.06	0.11	0	0	0	0	0	0.08	0.41	0	0	0.1	0	0.08	0	0.16	0.3	0.64	0.11	0	0	0.15	0.2	0.14
GRMZM2G011119	0.19	0.25	0.43	1.1	2.02	2.2	8.02	6.47	9.71	17.88	7.24	11.08	19.51	19.37	35.96	0.45	0.1	0.03	0.12	0.01	0.23	0.21	0	0.18	0.34	0.41	0.85	1.31	3.92	4.25	13.52	23.61	0	0.06	0	0.03	0.02	0.12	0.07	0.42	0.1	0.22	0.13	0.43	0.2	0.51	0.84	3.55	11.59	15.25	9.88	10.64	18.72	0	0.07	0	0	0	0	0	0.04	0.06	0.33	0.34	0	0.03	0.06	0.11	0.13	0.15	0.08	0.08	0.03	0.09	0.03	0.02	0	0
GRMZM2G003835	16.21	31.34	11.91	26.57	20.73	17.14	24.58	20.01	32.56	51.27	28.46	39.89	68.18	36.65	90.9	14.61	24.57	15.85	6.4	3.6	2.12	6.96	7.46	5.03	3.31	4.63	6.5	7.16	12.96	10.37	24.01	42.42	27.37	25.64	17.07	38.43	38.06	38.49	22.27	15.57	7.99	13.42	11.43	8.34	10.68	6.31	8.64	11.84	19.77	25.76	22.99	11.07	26.8	3.99	3.48	4.94	1.9	1.74	4.04	3.63	6.64	7.5	16.86	10.96	16.93	8.57	9.64	4.64	7.38	6	14.02	16.29	5.1	6.65	7.24	8.76	8.96	3.24
GRMZM2G019681	17.38	25.99	24.64	24.97	21.48	24.84	30.31	29.08	42.1	33.65	32.12	30.64	48.66	41.85	47.34	19.27	17.8	13.97	11.9	9.75	6.6	8.97	8.26	4.94	5.56	4.21	9.3	7.33	10.55	10.41	12.21	23.47	20.5	28.65	39.47	39.8	35.05	28.62	19.76	18.27	13.33	11.73	12.51	9.8	10.32	9.14	10.36	14.55	16.57	23.98	23.78	18.21	21.95	4.35	3.71	5.24	6.71	4.6	3.36	5.34	6.07	7.55	6.69	5.8	4.88	4.83	3.42	5.66	5.49	4.31	13.82	12.84	6.21	8.09	7.36	4.69	8	0.91
GRMZM2G047533	0.24	0	0.05	1.76	0.24	0.07	6.77	14.16	52.95	43.38	35.76	39.2	95.56	82.01	82.54	0.16	0.24	0.17	0.2	0.8	0.8	3.07	1.35	4.56	3.57	19.28	25.85	12.14	20.41	24.28	12.42	17.99	0.08	0.16	0.12	0.13	0.04	0.09	0	0.06	0.34	0.48	1.13	1.05	4.19	3.25	5.4	14.08	56.45	32.79	46.92	29.68	48.55	0.48	0.2	0.43	0.15	0.08	0.06	0.22	0.39	0.22	0	0.03	0	0.18	0.13	0.25	0.34	0.07	0.35	0.26	0.24	1.06	0.17	0.06	0.18	0
GRMZM2G068703	15.35	14.91	17.45	13.63	13.14	17.92	13.72	16.33	12.84	17.36	12.23	13.73	19.08	14.31	16.54	9.68	12.77	5.26	3.89	2.89	1.42	3.56	4.52	5.45	3.5	4.77	1.8	2.78	4.95	4.26	5.84	7.42	30.36	31.86	24.75	32.37	45.89	33.1	21.04	17.38	11.22	14.79	10.49	8.88	10.44	6.43	10.51	7.71	8.13	9.78	8.72	10.45	9.86	9.06	7.41	6.37	11.98	7.93	5.73	4.8	12.76	8.59	7.92	10.14	9.78	12.79	3.9	12.05	12.36	6.41	11.06	9.09	4.71	4.62	12.3	6.24	8.33	3.74
GRMZM2G078129	0.18	0.95	1	3.46	3.68	3.57	3.16	3.63	2.78	5.59	2.01	2.44	4.26	4.15	4.06	0	0	0	0	0	0	0	0	0.1	0	0	0.09	0	0.04	0.09	0.07	0.12	0	0	0	0	0	0.15	0	0.04	0.02	0.15	0.22	0.47	0.74	0.37	0.36	0.59	3.58	1.96	5.01	1.94	3.61	0	0.36	0.07	0	0	0	0	0.05	0.08	0.03	0	0	0	0.03	0.19	0.21	0.13	0.03	0.07	0	0.07	0.03	0.12	0.17	0
GRMZM2G120475	0.78	1.09	3.35	10.62	22.09	42.94	37.25	43.22	36.86	72.35	32.92	43.58	89.61	56.45	64.71	0	0	0.07	0	0.08	1.04	0.11	0.2	0.59	0.75	0.95	2.44	1.63	5.86	19.93	21.47	42.62	0	0	0	0	0	0	0.43	0	0	0.64	1.37	5.7	8.77	7.2	5.82	27	62.15	74.02	65.13	34.2	46.28	0.04	0	0	0	0	0	0	0.05	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G121502	0.37	0.21	0.12	1.87	1.43	3.73	5.42	3.09	6.11	6.08	0.76	1.77	6.54	2.69	6.25	0	0	0	0	0	0	0	0	0.2	0.08	0	0.13	0.08	0	0.37	1.19	1.91	0	0	0	0	0	0	0	0	0	0.13	0.26	0.46	1.04	0.34	0.29	0.61	2.21	0.47	2.78	0.84	4.84	0.04	0	0	0	0	0	0	0	0.05	0.05	0.13	0.12	0.06	0	0	0.05	0	0	0	0	0	0	0	0.26	0
GRMZM2G129092	0	0	0	0.09	0	0	1.36	0.98	5.47	5.93	2.01	1.83	5.56	2.78	4.92	0	0	0	0	0	0	0	0	0	0.04	0	0.92	0.08	0.7	0.12	1.06	2.73	0	0.09	0	0	0	0	0	0	0.04	0	0	0.06	0.79	0.12	0.63	0.87	4.43	0.57	2.25	0.12	2.38	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0
GRMZM2G133322	0	0	0	0.14	0	1.46	8.39	7.39	10.76	14.96	7.22	9.57	12.24	10.75	14.13	0	0.08	0	0.01	0	0.02	0.01	0.02	0	0.11	0	0.5	0.08	0.04	0.18	0.17	0.22	0	0.14	0	0	0	0	0.06	0	0.02	0	0	0.19	0	1.06	0.87	1.9	10.31	13.35	12.32	5.86	16.13	0	0.09	0	0	0	0	0.25	0	0	0	0	0.06	0	0	0	0	0	0.35	0.07	0	0	0	0.12	0.19	0.13
GRMZM2G140293	3.46	11.95	10.69	25.27	29.67	34.2	122.59	81.71	150.3	181.04	76.82	84.75	202.91	135.77	228.15	0.48	0.1	2.03	1.43	0.91	0.65	2.46	1.73	3.66	4.82	2.6	16.02	13.88	27.99	36.94	101.7	136.39	1.95	0.86	0.27	0.29	0.09	0.21	4.37	5.32	4.35	2.66	8.87	13.7	4.61	15.57	16.16	32.35	103.03	109.34	133.02	88.8	151.32	0.31	0.16	0.09	0.54	0.42	0.66	0.05	0.06	0.1	0.17	0.12	0	0.08	0.1	0.07	0.2	0.03	0.36	0.39	0.13	0.48	5.38	0.21	0.93	0.09
GRMZM2G318689	4.79	10.22	5.02	6.29	4.54	6.32	5.39	7.15	10.56	6.39	5.69	6.33	8.91	7.51	9.58	0.02	0	0	0.02	0	0	0	0.01	0.13	0.13	0.2	0.47	0.1	0.15	0.58	0.65	0.98	0	0.03	0	0.03	0	0	0	0.04	0.32	0.41	0.38	1.13	0.64	1.11	1.32	2.9	16.08	6.82	14.44	6.53	14.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0.11	0.07	0	0.03	0.7	0.1
GRMZM2G341460	0.17	0.27	0.19	0.38	0.38	0.11	2.01	1.78	4.89	3.48	1.82	2.97	5.41	1.36	5.01	0	0	0	0	0	0	0.1	0.06	0.13	0.05	0.08	0.51	0.3	0.71	0.74	0.05	0.67	0	0	0	0	0.19	0	0	0	0.09	0.29	0.16	0.17	0.92	0.48	0.46	0.77	1.04	0.97	0.98	0.94	1.77	0	0	0	0	0	0	0	0	0	0.72	0.64	0	0.04	0	0.04	0	0	0	0	0.05	0	0	0	0	0
GRMZM2G460465	2.83	3.36	3.23	6.02	4.4	4.76	9.15	9.26	16.5	30.02	16.45	13.94	29.34	20.79	30.93	7.81	4.28	5.4	2.69	1.58	2.96	2.18	2.4	1.8	1.88	1.9	3.76	2.61	3.2	4.46	12.18	17.82	9.52	12.27	20.99	27.65	44.27	34.62	12.7	17.38	8.19	8.06	4.86	6.17	1.61	2.94	5.22	4.66	13.63	10.46	12.71	8.36	15.59	0.13	0.17	0	0.08	0.09	0.12	0.21	0.19	0.35	0	0	0	0	0	0	0	0	0.18	0	0.13	0	0.06	0.13	0.16	0
GRMZM2G471362	0.09	0	0	0.2	0.06	0	1.49	0.73	1.45	0.79	0.92	0.67	1.99	1.45	1.35	0	0	0.04	0	0	0	0	0.02	0	0.02	0	0.19	0.32	0.47	0.47	0.29	0.93	0.02	0	0	0	0	0	0	0	0	0	0	0	0.06	0.19	0.14	0.13	0.98	1.79	1.7	1.25	1.12	0	0	0	0.04	0	0	0	0.09	0.07	0	0	0.2	0	0	0	0	0.02	0	0	0	0	0	0	0	0
GRMZM2G473960	16.39	42.53	17.89	199.79	190.35	418.25	1129.01	726.18	1862.64	1810.98	854.05	912.31	1818.59	2019.27	2381.21	1.78	0	1.21	0.53	0.52	2.7	3.05	2.32	27.33	18.42	22.88	172.85	88.7	379.94	469.95	1005.55	1128.32	0.05	0.66	0.29	0.39	0	0	2.88	2.56	2.57	8.4	24.23	89.09	101.52	128.6	122.59	368.5	1207.2	730.03	1447.78	605.16	1588.51	0	0.18	0	0	0	0	0	0	0	0.05	0	0	0.06	0.05	0	0	0	0.25	0	0.14	0	2.26	0.05	0	0
GRMZM2G491719	4.09	9.64	6.32	7.42	13.28	9.92	11.62	7.51	12.75	14.72	9.26	8.46	16.19	11.76	21.95	5.89	7.49	6.97	4.16	2.55	4.79	3.72	5.07	2.61	2.53	2.09	1.5	3.48	2.88	2.72	3.25	9.67	21.32	10.04	12.29	18.44	21.55	12.46	10.68	8.18	4.39	5.61	5.57	5.31	3.88	3.45	3.47	3.43	3.44	7.48	5.79	6.39	6.98	0	0	0	0	0	0	0	0	0	0	0	0.57	0	0	0.04	0	0	0.1	0	0	0	0	0	0.03	0
GRMZM5G878205	0	0	0.71	0	0.86	0	8.19	9.96	4.74	8.38	3.55	5.14	22.37	12.08	29.77	0	0	0.2	0	0	0	0	0	0	0	0	0.39	1.46	0.52	1.87	7.1	6.33	0	0	0.44	0	0	0	0	0	0	0	0	0	1.66	0.12	0.16	0.61	1.4	9.31	4.06	5.43	6.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G320549	20.01	39.17	42.85	82.78	153.96	191.12	293.86	367.91	381.31	430.4	588.58	608.86	484.03	411.45	453.91	22.87	27.95	28.08	16.67	16.05	30.28	28.71	31.99	27.24	26.29	23.69	33.97	27.65	64.82	99.01	212.45	270.94	40.67	12.73	8.88	26.67	12.42	17.53	20.06	18.89	18.45	21.17	29.33	36.18	56.24	54.6	77.78	159.14	264.84	356.06	401.29	471.63	306.87	5.33	4.21	2.32	1.97	5.03	13.03	17.45	5.22	4.83	0.93	1.1	2.24	1.57	1.69	3.27	4.12	3.22	8.9	5.53	1.86	1.31	3.7	1.65	2.06	0.61
GRMZM2G465860	2.51	0.25	15	40.16	105.28	162.97	165.43	156.91	136.18	197.5	185.76	301.8	338.67	373.28	357.29	0	0	0.88	0.86	0.74	2.06	6.55	2.68	4.43	5.17	0.92	6.05	3.78	10.46	31.51	27.99	68.64	5.64	7.23	2.99	3.24	0.06	0	0.28	1.9	4.82	9.55	22.39	26.9	31.29	25.18	29.69	56.87	158.41	298.8	209.21	191.59	235.58	0.21	0	0	0	0	0	0.09	4.83	5.05	0.13	0.23	0.43	0	0	0.07	0	0.06	0	0	0.25	0	0.08	0	0.15	0
AC205336.3_FG003	0	0	0	0	0	0.44	0.5	0.27	0.61	0.46	1.19	2.47	1.38	1.76	0.61	0	0	0.06	0.08	0.03	0	0	0	0	0.03	0	0.11	0.24	0.11	0.16	1.67	0.69	0	0	0.13	0.04	0.08	0	0.1	0.12	0.11	0	0.24	0.07	0.59	0	0.1	0.52	0.99	1.55	0.58	1.49	0.4	0.71	0	0	0.07	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0.06	0	0	0	0.04	0	0
